OBJECTID;LAND;BEZ;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
219249;11;3;3701658;2021;11;18;2;3;0;3;2;0;1;0;1;0;0;1;800202,0742;5829640,204;13,42689483;52,53393955
219248;11;7;7501134;2021;12;19;7;3;6;2;2;0;1;1;0;0;0;1;798479,5317;5819049,219;13,39209027;52,43995086
219247;11;4;4100101;2021;12;17;4;3;5;2;2;0;1;0;0;0;0;0;793352,6128;5829680,195;13,32624193;52,53802784
219246;11;4;4501041;2021;12;15;7;3;5;2;1;0;1;0;1;0;0;1;792950,0395;5825362,081;13,31652064;52,49953417
219243;11;11;11501339;2021;12;9;5;3;3;6;0;0;1;0;0;0;1;2;807182,01;5825602,793;13,52575163;52,49386714
219241;11;1;1100308;2021;12;22;5;3;1;5;2;0;1;0;0;0;0;1;796605,7279;5829088,391;13,37353829;52,53096213
219240;11;10;10200524;2021;12;5;1;3;1;5;2;0;1;0;0;0;0;2;812275,3654;5830609,751;13,60523023;52,53584537
219239;11;7;7200409;2021;12;20;7;2;5;7;2;0;1;0;0;0;0;2;795262,58;5824374,901;13,34961395;52,48943851
219238;11;1;1300733;2021;11;22;3;3;2;6;2;0;1;0;0;0;0;1;797163,3962;5831385,088;13,38378941;52,55124558
219237;11;2;2200208;2021;12;7;2;3;6;4;2;0;1;1;0;0;0;0;797529,4622;5824997,119;13,38345801;52,49378526
219235;11;11;11100204;2021;12;19;3;3;2;2;2;0;1;0;0;0;0;1;805955,9268;5833701,602;13,51520192;52,56713943
219233;11;7;7100205;2021;12;13;7;3;3;6;0;0;1;0;1;0;0;1;796467,22;5824883,082;13,36775616;52,49334102
219230;11;7;7200307;2021;12;10;3;3;6;7;0;0;0;1;0;0;1;0;794935,9206;5824544,661;13,34496711;52,49113688
219229;11;7;7100101;2021;12;19;4;3;6;2;2;0;1;1;0;0;0;0;794592,1948;5825505,265;13,34076867;52,49993372
219228;11;1;1100205;2021;12;19;4;3;5;7;2;0;1;0;0;0;0;0;796971,936;5826718,537;13,37680527;52,50951959
219226;11;7;7300516;2021;12;18;5;3;6;7;2;0;0;1;0;0;1;0;793975,8208;5821706,891;13,3283651;52,46621546
219225;11;6;6400841;2021;12;7;5;3;6;2;2;0;1;1;0;0;0;0;789616,5637;5818717,717;13,26178321;52,4417447
219223;11;6;6400839;2021;11;15;2;3;5;3;1;0;1;0;0;0;1;1;788237,3736;5818274,027;13,24116591;52,43849547
219221;11;4;4500939;2021;12;18;4;3;5;2;1;1;1;0;0;0;0;0;792439,7595;5824095,448;13,30791309;52,48845278
219220;11;9;9100306;2021;12;21;4;2;8;1;2;0;1;0;0;0;0;0;803124,462;5820953,915;13,4619448;52,454468
219219;11;7;7300619;2021;12;17;2;3;5;2;2;0;1;0;1;0;0;1;794980,7954;5822325,17;13,34366241;52,47121631
219217;11;4;4501042;2021;12;17;7;3;6;4;2;0;0;1;0;0;1;0;793999,8532;5826182,642;13,33266585;52,5063255
219216;11;1;1100102;2021;11;18;3;3;0;6;2;0;1;0;1;0;0;1;795066,8666;5827221,642;13,3492624;52,51506335
219215;11;9;9200715;2021;12;11;2;2;6;2;0;0;1;1;0;0;0;0;809320,9583;5818504,317;13,55057965;52,42904384
